,Palabra,cant central,cant guaranitica,Total central,Total guaranitica,Total central guaranitica,Pvalue,fnorm central,fnorm guaranitica,maxdif
38739,upei,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39027,bunda,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38554,richotti,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38553,destaparía,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39026,enríquez,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38575,quietoo,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38199,dishiii,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38571,baalberith,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38570,ligaaar,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38569,heartbreaks,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38201,mitree,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38562,penka,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38561,fregando,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38563,falardeaugénero,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38564,normalización,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39035,connections,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39034,desfilaron,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39033,apv,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39032,sinaloa,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38565,wawa,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38566,musinga,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38567,rocholl,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38560,alambra,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38200,makaruk,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38568,canicheee,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38559,pawluk,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38558,bolsitos,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39025,mortadelas,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39024,tendr,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38738,tigercito,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38582,rotina,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38583,novas,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39019,lazhardirección,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38734,크레용팝,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39018,eac,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38584,cabernas,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38585,cabezudo,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39036,rioplatense,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39037,turpial,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39038,santandrea,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39039,maridazo,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38586,wrestlemania,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39040,feriarte,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38353,errete,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38204,niels,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38549,features,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38548,fascinó,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38547,virayork,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38202,epja,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38581,cuessta,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38737,ojasosss,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38580,mercedeños,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38576,usta,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38736,dança,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38552,locota,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38551,cuaresmal,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38203,fundidoo,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39023,hated,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38550,chickenfoot,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
