,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
803,tirapelos,42.0,0.0,25,0,25,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
804,tordos,42.0,0.0,11,0,11,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
805,mannnsa,42.0,0.0,21,0,21,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
806,malpegar,42.0,0.0,31,0,31,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
807,laffont,42.0,0.0,1,0,1,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
808,modón,42.0,0.0,1,0,1,5.639954423e-32,4.46694508497,0.0322502516326,138.508844392
843,uspallata,42.0,1.0,29,1,30,7.61271060706e-31,4.46694508497,0.0322502516326,138.508844392
823,músicas,0.0,446.0,0,300,300,2.92289530109e-31,0.106355835356,14.3836122281,135.24046123
824,culiaaado,41.0,0.0,30,0,30,2.9685923898e-31,4.36058924962,0.0322502516326,135.211014763
872,arístides,41.0,1.0,34,1,35,4.00253631694e-30,4.36058924962,0.0322502516326,135.211014763
892,mendozaa,40.0,1.0,28,1,29,2.10490967089e-29,4.25423341426,0.0322502516326,131.913185135
854,cldas,40.0,0.0,28,0,28,1.5629716466e-30,4.25423341426,0.0322502516326,131.913185135
852,sodeado,40.0,0.0,17,0,17,1.5629716466e-30,4.25423341426,0.0322502516326,131.913185135
853,vendimial,40.0,0.0,31,0,31,1.5629716466e-30,4.25423341426,0.0322502516326,131.913185135
857,udpm,0.0,434.0,0,23,23,1.82731517331e-30,0.106355835356,13.9966092085,131.601704426
256,carilo,119.0,3.0,36,3,39,5.70512082581e-84,12.6563444074,0.0967507548978,130.813908592
425,uco,79.0,2.0,27,2,29,2.33702071001e-56,8.40211099316,0.0645005032652,130.264270321
140,seiscientos,196.0,5.0,2,4,6,5.57801231406e-137,20.8457437299,0.161251258163,129.274921432
880,barloa,39.0,0.0,25,0,25,8.23158474836e-30,4.1478775789,0.0322502516326,128.615355506
879,culiadaaa,39.0,0.0,28,0,28,8.23158474836e-30,4.1478775789,0.0322502516326,128.615355506
881,vistalba,39.0,0.0,17,0,17,8.23158474836e-30,4.1478775789,0.0322502516326,128.615355506
