palabra,pvalorWelch
brch,0.000489682821343
formosaaa,7.02910817229e-05
fasta,2.37829768662e-07
passalacqua,0.0421470718861
vam,1.95324871723e-15
liceo,1.37071932941e-06
sj,2.79395197915e-23
bolasos,6.63129925766e-11
pirane,0.0101585210972
aristóbulo,0.00838556285967
sanma,2.76677542697e-11
tereres,2.35828141183e-34
concepcion,5.79494970591e-10
polivalente,1.94537428916e-05
dique,1.9112056732e-45
hru,0.00362501996018
gigared,1.31881732189e-08
cantabria,5.57796950308e-05
náutico,8.78962773762e-11
vittorio,2.26171721259e-06
concepción,1.05317429242e-07
chamiga,8.46679492747e-19
duam,0.00343004153538
ivovich,0.000932082719984
trimestral,7.93667824738e-23
tucson,1.39773197825e-17
angelelli,2.3725686131e-05
macachín,0.00453361306097
unam,6.9362793391e-05
chamamé,7.27976286591e-08
ish,7.28770644116e-09
carnazas,1.7431069798e-11
tunuyán,0.057304172269
berrotaran,0.00279757958319
cagao,1.68057724925e-16
ches,1.17390149386e-07
moron,1.19490198492e-09
pirané,0.0283268179154
culiados,5.65586108098e-72
cocomarola,0.0109458031344
cantoni,0.0966234011814
mañosa,2.23649437366e-42
fray,3.90968026142e-13
wsppp,2.62674779176e-22
fiad,0.000973807583376
unr,3.14811661685e-05
fooo,8.2121204932e-39
cañada,4.05816158181e-11
posadasss,5.55923209921e-09
logroñeses,0.000561327623378
kissme,0.318250281589
guaso,9.325991222e-15
fuenmayor,0.0368448361246
malpego,1.14377078522e-09
tesorieri,0.00354718501606
bolson,4.15287824425e-10
guaina,2.13978532755e-10
isss,3.55263696041e-09
calf,0.00147023112433
crotera,3.91808355603e-14
fcys,0.00827426793266
montecarlo,1.36087742139e-06
jia,2.15136348961e-07
dixxie,4.26788256078e-05
aisss,2.97498410568e-08
raggio,0.00111528899632
wsp,2.83198713595e-131
puelo,0.000496270580908
traica,4.58614624143e-08
choeleee,6.83257215341e-06
cóndor,1.26691043777e-05
culiaooo,2.49829684863e-23
zavalla,0.000501216179113
forrada,2.58091080331e-19
espolón,0.000941197480354
albo,0.000186794172374
agronomia,9.65317507726e-08
mañas,2.33760169037e-56
yarcos,2.7563153431e-08
hispano,0.0764980344945
oiii,4.1905427168e-06
ushhh,1.7329675923e-08
rosquitas,2.36785620792e-20
tucumanas,0.000688166239775
unsta,6.16191845979e-06
cpe,0.00162572309566
cente,6.41149209431e-07
bernardi,1.86188231109e-05
grasso,0.000805642294898
cochico,4.3273147163e-07
culiaaa,2.34072295518e-32
larrañaga,0.0886354019465
iguazú,8.30995806226e-07
vaqueros,7.12789633634e-10
oncativo,0.000312875431568
entoe,9.10108670283e-05
carnera,2.52890125112e-15
doblas,0.000947629168458
rioseco,0.00456862010486
carcaraña,0.0230136397369
linares,0.0103025958158
ribera,0.000652351348941
torrontés,0.00849689982858
cordillera,3.79536505108e-32
radaaa,1.46287580923e-07
riojahttp,0.224165153571
metán,0.000254179740573
perales,0.0516594101387
