 ,cantPalabra,cantUsuariosTotal,regionTest,provinciaSinEsaPalabra,Palabra Candidata,rankPalabras,rankPalabras_Personas,rankPersonas,FnormMax,FnormMin,provinciaFnormMax,provinciaFnormMin,entropy_palabras,entropy_personas,esLugar,fnormArgentina,information_value_palabras,information_value_personas,information_value_personas_palabras,maxDif,normCantPalabras,normCantPersonas,shuffled_entropy_palabras,shuffled_entropy_personas,,
sinf,269,80,['tucuman'],18,1,154,132,73,28.4677447463,0.110846938225,tucuman,neuquen,0.134591129309,0.267829961402,ok,1.42715399105e-06,23.7804022083,21.9800232712,0.394274274871,256.820307374,0.15523433511,0.316568547904,3.08082331626,2.99100728466,,
melella,205,59,['tierradelfuego'],21,0,204,198,74,23.4834537454,0.538146298569,tierradelfuego,santacruz,0.096134545166,0.148042246826,ok,1.08760806009e-06,22.929867918,21.8726657965,0.315528020426,43.6376758659,0.132813142825,0.279355513565,3.08199655938,2.99623841546,,
pirkas,217,39,['neuquen'],21,0,147,256,75,23.9429386565,0.119363192593,neuquen,sanjuan,0.0293898140945,0.119246926396,ok,1.15127292215e-06,23.8856713369,21.7329840814,0.271062550196,200.588959933,0.137507571186,0.228761613864,3.10682506145,2.91932946538,,
quitilipi,852,109,['chaco'],16,0,51,64,76,107.80975155,0.0992464022187,chaco,cordoba,0.210439341244,0.790189759033,lugar,4.52020520586e-06,28.2998595586,21.7261201756,0.575657923737,1086.28372555,0.250371258631,0.354372130284,3.11754809566,3.02200981563,,
rionegrinas,1111,29,['rionegro'],20,1,23,163,77,110.390177736,0.134536574642,rionegro,santacruz,0.0454130360123,0.545969299889,ok,5.8943051452e-06,31.0900293886,21.7099844058,0.345685464334,820.521691069,0.272274865051,0.192553596227,3.11826597983,2.69172441185,,
yf,212,96,['formosa'],19,1,211,142,78,28.9516899296,0.120089928142,formosa,sanluis,0.113217336281,0.216526905534,ok,1.12474589629e-06,22.7946442747,21.6345850183,0.379378664588,241.083414551,0.135583907263,0.338850909838,3.06286522781,3.0160620645,,
chimbas,360,102,['sanjuan'],18,0,124,103,79,41.2996646372,0.0992464022187,sanjuan,cordoba,0.202941047472,0.46067975911,lugar,1.90994586163e-06,24.5881115076,21.6089448762,0.457392747533,416.132612507,0.179280477921,0.346260125671,3.0984352616,3.00534752845,,
palpala,235,88,['jujuy'],20,0,220,144,80,37.8038293767,0.407845367876,jujuy,santiago,0.201969350717,0.310280696935,lugar,1.24677021523e-06,22.6477777976,21.579688446,0.372544041059,92.6915746857,0.14408355338,0.328216846436,3.07732376832,3.05003084188,,
aij,213,78,['formosa'],20,1,181,156,81,29.3692623805,0.118667036908,formosa,corrientes,0.0596862212801,0.137019931026,ok,1.13005130146e-06,23.2550055765,21.5460868878,0.356984279207,247.493011925,0.135972244194,0.313474341323,3.06626393632,2.9226561017,,
epe,312,168,['santafe'],11,0,173,90,82,33.6254762857,0.0992464022187,santafe,cordoba,0.288218758124,0.482002170742,ok,1.65528641341e-06,23.4288383302,21.5213097274,0.50094293332,338.808012522,0.167471589465,0.407244147313,3.11594367857,3.07949945077,,
eldorado,362,96,['misiones'],16,0,131,109,83,44.6715275621,0.0992464022187,misiones,cordoba,0.226029143548,0.501792573932,lugar,1.92055667197e-06,24.301854764,21.4789884113,0.440026553715,450.107274052,0.179737661613,0.338850909838,3.08512271852,3.02877820363,,
unsj,196,46,['sanjuan'],21,0,169,246,84,23.2758225556,0.110846938225,sanjuan,neuquen,0.032018159639,0.104732439105,ok,1.03985941355e-06,23.4643963341,21.4675024153,0.279207746148,209.981646119,0.129108316134,0.248936774772,3.11347455317,2.923947203,,
jei,775,324,['formosa'],7,1,155,50,85,88.3861687755,0.110846938225,formosa,neuquen,0.648493237241,0.862964600837,ok,4.11168900767e-06,23.7793192743,21.4602080648,0.655031239577,797.371313914,0.242554538705,0.487512216531,3.12600826165,3.09885652417,,
daxa,143,87,['buenosaires'],22,0,257,203,86,15.9342625868,15.9342625868,buenosaires,buenosaires,0.0,0.0,ok,7.58672939481e-07,22.0167507489,21.4471746098,0.310345644182,1.0,0.10309177765,0.326820092584,3.07502044566,2.99546927605,,
